riskscore,pred_agelastarrest,pred_shootingvic_num,pred_assaultvic_num,pred_violetoffense_num,pred_crimacttrend_num,pred_uuwarrests_num,sex,race,weaponarrest_yn,drugarrest_yn,agegrp,ageto,stoporderno,paroleestatus_yn,lastarrest_date,distlastarrest,majoritydist,dlst,distlastresidence,weaponsarrest_num,lastweaparrest_date,narcoticssarrest_num,lastnarcarrest_date,cityresidence_idoc,stateresidence_idoc,zipresidence_idoc,idoccpddist,arrestbycpd_yn,domassaultarrest_num,lastdomassaultarrest_date,currentage,lastpartytoviolence_date,trapstatus,statusi,trapflags,cvrm_flags,latitude,longitude,censustract,commarea,location,dayslastarrest_num_et,notincookcounty_et,livewherearrested_et,shootingvictim_et,assaultvictim_et,predsumwotrend_et,lastarrestpolarea_id_et,agecatchange_et,urban_yn,random,insample
VERY LOW,30 to 39,0,0,0,-.1,0,F,BLK,0,0,30 to 39,30 to 39,,,7/21/15,31,,IL,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1759,1,1,0,0,0,,1,Rural/County,.001403001,1
LOW,40 to 49,1,1,0,.30000001,0,M,BLK,0,1,40 to 49,40 to 49,,,2/25/18,11,11,IL,11,,,2,2/25/18 8:20,CHICAGO,IL,60644,15,1,,,40 to 49,6/22/16 13:07,,Y,,,,,,,,809,,1,1,1,2,3,1,Chicago City,.0014119332,1
VERY LOW,50 to 59,0,0,0,-.30000001,0,M,BLK,0,1,50 to 59,50 to 59,,1,9/26/14,15,15,,15,,,2,9/26/14 11:58,CHICAGO,IL,60647,,1,,,60 or older,,,Y,,,,,,,,2057,,1,0,0,0,3,0,Chicago City,.0014126337,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,F,BLK,0,0,30 to 39,30 to 39,,,11/28/14,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1994,,1,0,0,0,,1,Rural/County,.0014168528,1
LOW,20 to 29,0,0,0,.2,0,M,BLK,0,1,20 to 29,20 to 29,,,12/11/17,3,10,,3,,,5,2/24/15 11:15,               ,,         ,,1,,,20 to 29,,,Y,,,,,,,,885,,1,0,0,0,1,1,Chicago City,.0014183753,1
VERY LOW,30 to 39,0,0,0,.1,0,M,BLK,0,0,30 to 39,30 to 39,,,9/12/16,11,11,,10,,,,,,,,,1,,,40 to 49,,,Y,,,,,,,,1340,,0,0,0,0,3,0,Chicago City,.001423724,1
LOW,20 to 29,0,0,0,-.30000001,0,M,WWH,0,0,20 to 29,20 to 29,,,3/24/17,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1147,,1,0,0,0,,1,Rural/County,.0014284565,1
LOW,20 to 29,0,0,0,.1,0,M,WHI,0,1,20 to 29,20 to 29,,,9/8/16,31,,,31,,,1,9/8/16 20:24,,,,,0,,,20 to 29,,,Y,,,,,,,,1344,,1,0,0,0,,1,Rural/County,.0014297403,1
VERY LOW,40 to 49,0,0,0,-.30000001,0,M,WWH,0,1,40 to 49,40 to 49,,,7/2/15,16,16,,31,,,1,7/2/15 22:53,CHICAGO,IL,60618,,1,1,9/9/12 21:40,40 to 49,,,Y,,,,,,,,1778,,0,0,0,0,3,1,Rural/County,.0014315884,1
VERY LOW,40 to 49,0,0,0,.1,0,M,BLK,0,0,40 to 49,40 to 49,,,11/12/16,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,1279,,1,0,0,0,,1,Rural/County,.0014326897,1
LOW,20 to 29,0,0,0,-.30000001,0,M,WWH,0,0,20 to 29,20 to 29,,,1/18/15,31,4,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1943,,1,0,0,0,,1,Rural/County,.0014362558,1
VERY LOW,30 to 39,0,0,0,-.1,0,M,WWH,0,0,30 to 39,30 to 39,,,2/20/16,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1545,,1,0,0,0,,1,Rural/County,.0014368622,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,BLK,0,0,30 to 39,30 to 39,,,6/2/14,6,6,,31,,,,,,,,,1,3,8/24/10 1:02,30 to 39,,,Y,,,,,,,,2173,,0,0,0,0,2,1,Rural/County,.0014373082,1
VERY LOW,50 to 59,0,0,0,.1,0,M,WHI,0,0,50 to 59,50 to 59,,,2/19/17,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1180,,1,0,0,0,,1,Rural/County,.001437337,1
LOW,20 to 29,0,0,0,.1,0,M,BLK,0,0,20 to 29,20 to 29,,,1/8/18,10,11,,15,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,857,,0,0,0,0,1,1,Chicago City,.0014415076,1
